model,state_id,action,admissible,q_value
Conservative Q-Learning,681,24,0,13.577231407165527
Conservative Q-Learning,682,0,1,14.099136352539062
Conservative Q-Learning,682,1,0,10.944730758666992
Conservative Q-Learning,682,2,0,11.057393074035645
Conservative Q-Learning,682,3,0,10.919699668884277
Conservative Q-Learning,682,4,0,10.97489070892334
Conservative Q-Learning,682,5,0,11.104546546936035
Conservative Q-Learning,682,6,0,10.955862045288086
Conservative Q-Learning,682,7,0,10.932336807250977
Conservative Q-Learning,682,8,0,10.92616081237793
Conservative Q-Learning,682,9,0,10.937952041625977
Conservative Q-Learning,682,10,0,10.909396171569824
Conservative Q-Learning,682,11,0,10.97611141204834
Conservative Q-Learning,682,12,0,10.958635330200195
Conservative Q-Learning,682,13,0,10.934081077575684
Conservative Q-Learning,682,14,0,10.900899887084961
Conservative Q-Learning,682,15,0,10.93077278137207
Conservative Q-Learning,682,16,0,10.914527893066406
Conservative Q-Learning,682,17,0,10.922595977783203
Conservative Q-Learning,682,18,0,10.941267967224121
Conservative Q-Learning,682,19,0,10.909612655639648
Conservative Q-Learning,682,20,0,10.991754531860352
Conservative Q-Learning,682,21,0,10.946139335632324
Conservative Q-Learning,682,22,0,10.943358421325684
Conservative Q-Learning,682,23,0,11.003549575805664
Conservative Q-Learning,682,24,0,11.005980491638184
Conservative Q-Learning,684,0,1,18.25927734375
Conservative Q-Learning,684,1,0,14.630515098571777
Conservative Q-Learning,684,2,0,14.657438278198242
Conservative Q-Learning,684,3,0,14.639707565307617
Conservative Q-Learning,684,4,0,14.609794616699219
Conservative Q-Learning,684,5,0,14.905014991760254
Conservative Q-Learning,684,6,0,14.614800453186035
Conservative Q-Learning,684,7,0,14.583841323852539
Conservative Q-Learning,684,8,0,14.62627124786377
Conservative Q-Learning,684,9,0,14.651010513305664
Conservative Q-Learning,684,10,0,14.56468391418457
Conservative Q-Learning,684,11,0,14.600661277770996
Conservative Q-Learning,684,12,0,14.624394416809082
Conservative Q-Learning,684,13,0,14.56594181060791
Conservative Q-Learning,684,14,0,14.618648529052734
Conservative Q-Learning,684,15,0,14.582602500915527
Conservative Q-Learning,684,16,0,14.617026329040527
Conservative Q-Learning,684,17,0,14.619775772094727
Conservative Q-Learning,684,18,0,14.64894962310791
Conservative Q-Learning,684,19,0,14.609764099121094
Conservative Q-Learning,684,20,0,14.754908561706543
Conservative Q-Learning,684,21,0,14.609283447265625
Conservative Q-Learning,684,22,0,14.663039207458496
Conservative Q-Learning,684,23,0,14.665637969970703
Conservative Q-Learning,684,24,0,14.647444725036621
Conservative Q-Learning,687,0,1,15.208358764648438
Conservative Q-Learning,687,1,0,11.908982276916504
Conservative Q-Learning,687,2,0,11.865324974060059
Conservative Q-Learning,687,3,0,11.866477012634277
Conservative Q-Learning,687,4,0,11.873250961303711
Conservative Q-Learning,687,5,0,11.933756828308105
Conservative Q-Learning,687,6,0,11.840714454650879
Conservative Q-Learning,687,7,0,11.882097244262695
Conservative Q-Learning,687,8,0,11.902423858642578
Conservative Q-Learning,687,9,0,11.89889144897461
Conservative Q-Learning,687,10,0,11.89795207977295
Conservative Q-Learning,687,11,0,11.896241188049316
Conservative Q-Learning,687,12,0,11.879568099975586
Conservative Q-Learning,687,13,0,11.868457794189453
Conservative Q-Learning,687,14,0,11.895394325256348
Conservative Q-Learning,687,15,0,11.893393516540527
Conservative Q-Learning,687,16,0,11.906801223754883
Conservative Q-Learning,687,17,0,11.903640747070312
Conservative Q-Learning,687,18,0,11.919232368469238
Conservative Q-Learning,687,19,0,11.890142440795898
Conservative Q-Learning,687,20,0,11.881077766418457
Conservative Q-Learning,687,21,0,11.908920288085938
Conservative Q-Learning,687,22,0,11.91167163848877
Conservative Q-Learning,687,23,0,11.87944221496582
Conservative Q-Learning,687,24,0,11.965105056762695
Conservative Q-Learning,673,0,1,15.143070220947266
Conservative Q-Learning,673,1,0,11.725095748901367
Conservative Q-Learning,673,2,0,11.730870246887207
Conservative Q-Learning,673,3,0,11.7298583984375
Conservative Q-Learning,673,4,0,11.75296688079834
Conservative Q-Learning,673,5,0,11.537467002868652
Conservative Q-Learning,673,6,0,11.738265991210938
Conservative Q-Learning,673,7,0,11.758169174194336
Conservative Q-Learning,673,8,0,11.725515365600586
Conservative Q-Learning,673,9,0,11.734809875488281
Conservative Q-Learning,673,10,0,11.690546989440918
Conservative Q-Learning,673,11,0,11.684489250183105
Conservative Q-Learning,673,12,0,11.6989107131958
Conservative Q-Learning,673,13,0,11.728988647460938
Conservative Q-Learning,673,14,0,11.726888656616211
Conservative Q-Learning,673,15,0,11.818203926086426
Conservative Q-Learning,673,16,0,11.725385665893555
Conservative Q-Learning,673,17,0,11.70550537109375
Conservative Q-Learning,673,18,0,11.737370491027832
Conservative Q-Learning,673,19,0,11.722965240478516
Conservative Q-Learning,673,20,0,11.812352180480957
Conservative Q-Learning,673,21,0,11.695284843444824
Conservative Q-Learning,673,22,0,11.677811622619629
Conservative Q-Learning,673,23,0,11.707159042358398
Conservative Q-Learning,673,24,0,11.883749008178711
Conservative Q-Learning,679,0,1,17.468379974365234
Conservative Q-Learning,679,1,1,14.306317329406738
Conservative Q-Learning,679,2,0,14.282511711120605
Conservative Q-Learning,679,3,0,14.225987434387207
Conservative Q-Learning,679,4,0,14.243410110473633
Conservative Q-Learning,679,5,0,14.423253059387207
Conservative Q-Learning,679,6,0,14.218781471252441
Conservative Q-Learning,679,7,0,14.20442008972168
Conservative Q-Learning,679,8,0,14.215458869934082
Conservative Q-Learning,679,9,0,14.218729019165039
Conservative Q-Learning,679,10,0,14.3831787109375
Conservative Q-Learning,679,11,0,14.209657669067383
Conservative Q-Learning,679,12,0,14.224226951599121
Conservative Q-Learning,679,13,0,14.20943546295166
Conservative Q-Learning,679,14,0,14.20482063293457
Conservative Q-Learning,679,15,0,14.236967086791992
Conservative Q-Learning,679,16,0,14.207334518432617
