method,seed,avg_return,survival_rate,mortality_rate,avg_length,inadmissibility_rate,expert_argmax_match,mean_kl_to_expert,policy_entropy,mean_action_deviation_from_expert,soft_survival_rate,soft_inadmissibility_rate,soft_avg_return,soft_policy_entropy,soft_mean_kl_to_expert,trajectory_mean_action_jump,trajectory_normalised_action_jump,uses_action_mask,uses_lagrangian,cost_budget
LAADAN without smoothness proxy,42,0.7932491898536682,0.7932491898536682,0.2067508101463318,8.695343017578125,0.0,0.952479362487793,3.954436779022217,-0.0,1.4123260974884033,0.7911184430122375,0.0,0.7911184430122375,0.1388588398694992,0.47981828451156616,3.1403747649614213,0.1308489485400592,1.0,1.0,0.0
LAADAN without smoothness proxy,43,0.7936782836914062,0.7936782836914062,0.20632171630859375,8.67591667175293,0.0,0.9563232660293579,3.9514553546905518,-0.0,1.4376014471054077,0.7914062738418579,0.0,0.7914062738418579,0.1401257961988449,0.4735613167285919,3.1879669936976156,0.13283195807073397,1.0,1.0,0.0
LAADAN without smoothness proxy,44,0.7928001284599304,0.7928001284599304,0.20719987154006958,8.656521797180176,0.0,0.9567075967788696,3.950505256652832,-0.0,1.4358328580856323,0.7913508415222168,0.0,0.7913508415222168,0.1402154415845871,0.4759100079536438,3.1037724025567113,0.12932385010652964,1.0,1.0,0.0
LAADAN without smoothness proxy,45,0.7922276854515076,0.7922276854515076,0.20777231454849243,8.651307106018066,0.0,0.9557466506958008,3.949899196624756,-0.0,1.4137018918991089,0.7914411425590515,0.0,0.7914411425590515,0.1391838639974594,0.4796891212463379,3.1328864353312302,0.13053693480546794,1.0,1.0,0.0
LAADAN without smoothness proxy,46,0.7921759486198425,0.7921759486198425,0.20782405138015747,8.63614559173584,0.0,0.9515664577484131,3.9512522220611572,-0.0,1.440256118774414,0.7910840511322021,0.0,0.7910840511322021,0.1373278945684433,0.4845448136329651,3.0810305422813213,0.12837627259505505,1.0,1.0,0.0
LAADAN without Lagrangian cost control,42,0.7934224605560303,0.7934224605560303,0.20657753944396973,8.689512252807617,0.0,0.9516144394874573,3.9552457332611084,-0.0,1.4169492721557617,0.7910827398300171,0.0,0.7910827398300171,0.13902242481708527,0.4794595241546631,3.141489012791079,0.13089537553296163,1.0,0.0,0.0
LAADAN without Lagrangian cost control,43,0.7938821911811829,0.7938821911811829,0.20611780881881714,8.678646087646484,0.0,0.954016923904419,3.9526004791259766,-0.0,1.4275768995285034,0.7914260625839233,0.0,0.7914260625839233,0.1398165374994278,0.47454237937927246,3.2002086865788444,0.13334202860745184,1.0,0.0,0.0
LAADAN without Lagrangian cost control,44,0.7929214835166931,0.7929214835166931,0.20707851648330688,8.656820297241211,0.0,0.9568036794662476,3.9509267807006836,-0.0,1.4353523254394531,0.7913529872894287,0.0,0.7913529872894287,0.14018622040748596,0.4769212007522583,3.11957685284302,0.12998236886845918,1.0,0.0,0.0
LAADAN without Lagrangian cost control,45,0.7922276854515076,0.7922276854515076,0.20777231454849243,8.651307106018066,0.0,0.9557466506958008,3.949899196624756,-0.0,1.4137018918991089,0.7915112376213074,0.0,0.7915112376213074,0.13902966678142548,0.4797216057777405,3.1328864353312302,0.13053693480546794,1.0,0.0,0.0
LAADAN without Lagrangian cost control,46,0.7921927571296692,0.7921927571296692,0.2078072428703308,8.64247989654541,0.0,0.9523352384567261,3.9503705501556396,-0.0,1.4364120960235596,0.7911239862442017,0.0,0.7911239862442017,0.13655468821525574,0.48591721057891846,3.082138652261237,0.12842244384421822,1.0,0.0,0.0
LAADAN without action mask,42,0.7801870703697205,0.7801870703697205,0.21981292963027954,9.45628547668457,0.0003705200456278817,0.8928983211517334,4.029333591461182,-0.0,1.4062213897705078,0.7799666523933411,0.0006727302328852013,0.7799666523933411,0.09609620273113251,1.0513428449630737,3.2201265229615745,0.13417193845673228,0.0,1.0,0.0
LAADAN without action mask,43,0.7796343564987183,0.7796343564987183,0.22036564350128174,9.347519874572754,0.0016018859688892153,0.8832404613494873,4.0551605224609375,-0.0,1.4513005018234253,0.7794297933578491,0.001757588872088208,0.7794297933578491,0.08604614436626434,1.0764086246490479,3.1632390745501286,0.13180162810625537,0.0,1.0,0.0
LAADAN without action mask,44,0.7792497873306274,0.7792497873306274,0.22075021266937256,9.43812370300293,0.0013964744382597945,0.8864597082138062,4.0486249923706055,-0.0,1.4742850065231323,0.7795853614807129,0.001511479626912228,0.7795853614807129,0.08536246418952942,1.0639657974243164,3.166446499339498,0.1319352708058124,0.0,1.0,0.0
LAADAN without action mask,45,0.7801127433776855,0.7801127433776855,0.21988725662231445,9.335020065307617,0.001317277177501446,0.8909282684326172,4.03841495513916,-0.0,1.4560716152191162,0.7797354459762573,0.0014569706253876,0.7797354459762573,0.0834287628531456,1.0668175220489502,3.173607220666044,0.1322336341944185,0.0,1.0,0.0
LAADAN without action mask,46,0.7795131206512451,0.7795131206512451,0.22048687934875488,9.445672035217285,0.0014194508466412506,0.8863636255264282,4.052682399749756,-0.0,1.4850473403930664,0.7799456119537354,0.0018010884170676753,0.7799456119537354,0.07905051112174988,1.0953953266143799,3.1220458553791888,0.13008524397413287,0.0,1.0,0.0
